essay_id,essay,human_score
465,"Computers, computers, computers. Who doesn't own them right? They teach hand eye coordination, give people to learn about faraway places and people can you actually believe some people say otherwise? I think that's pure bull !@. Computer's today help us with everyday tools, such as cars, cellphones and your everday television! Computer's also make work easier, and you interact with people! I for one think computers benefit society today, and those people who think otherwise should look into it one move step. Cellphones, cars, telephones want! There all made by mankind, but with a bit of technology. Did you know that @PERCENT1 of cars have computers biult in em? By the press of the button, all doors unlocked, by a swith the windows go down, yes, by computer. Now, how do computer's make life easier you say? Well keep reading to find out! The toothpaste, the baseball bats the pencils you we are all made by, the yoou know what! Machines, but programed with computer chips. Oh i remember when my history teacher told me that it took @NUM1 hours to make a baseball bat by a human from scratch. Now it takes like @NUM2 minutes with the help of comuters. If this isn't enough to tell you that computers benefit us, then what will?! Experts say people who use computers a lot don't get outside often to interact with family, but that's false I say! Cellphones are a everyday tool, we use them to talk with each other of long distant calls pay? Well then chat online on your own personal labtop! I hope now you believe computers do really benefit us. With there everday items we use, how they make work easier, and how it does make us interact. We use them everday, and hopefully they'll be around for the longest.",8
467,"Dear @CAPS1, Computers have many posative affects on society these days. I believe this because computers provide us with communication skills. They provide you with information and they increase your skill when it comes to technology. Read on to hear how i further explain my reasoning. First off, computers provide you with communication skills. I know that i am always finding the computer useful. It allows you access to websites that help you talk to new and dd friends. It is a fast and easy way to communicate with someone. Whether your at your house, or on the go with your laptop, you can talk to people all over the world. Secondly, computers supply you with information to write papers, newspaper articles, etc. When a teacher asks the class to with a paper about a specific topic, students can simply just go home on or type the topic in on a search . At that point they're automaticly supplied with thousands and thousands of different sources of information. I know that @PERCENT1 of the population of the @LOCATION1, prefer computer sources over book sources because computers are so much easier when it comes to finding specific information. Lastly, computers increase your skills when it comes to technology. Although some computers @MONTH1 be fairly easy to use companies are constantly trying to increase the difficulty of computers. They ar also always coming out with new software for your computer. By making computers and softwares more high tech, people the generation now is more technicly advanced than many other countries. As a whole computers have a huge impart on our countries technical skills. I believe computers have a posative affect on society. I think this because computers provide us with communication skills, they provide you with information, and they increase your skill whenit comes to technology. I hope i have made it so that we are looking at this from the same angle.",8
488,"Computers have little to no effect on people. In fact computers help us out a lot. They help us in find @CAPS1, medical, research and to tell weather or not you have cancer. The computers that people think of are machines that sit in a room and is used often but not for its purpose. People use it sometimes for entertainment not research. There aren't just those kind of computers. There are bigger more advanced computers that scientist use every day. @CAPS2 computers do have an effect on us, but in a good way. Most of the time those people playing games or music are kids who are bopard. They use it a little too often. I anly play with it on rainy days when I can't go outside and play. Humans use computers mainly because it makes life simpler, easier. @CAPS2, it does make life simpler, like for example instead of handwriting a report, you can type it or intead of searching everywhere in a book, you can go straight to the information. One last example is; when you want to stay updated on your favorite sport team, you don't have to go to their game you just have to go to their web site. In my opinion I say that @CAPS2, computers do have and effect on us but a good reason. I'm a sports fan so I play a lot of sports. I use the computer offer for fun and research. It dosen't have an effect on me. It dosen't effect at all because I still exercise a play with my friends very often, like everyday. There is no reason to why people can't use computers quite often. Computers don't have a positive effect sometime, but it doesn't have a negitive effect sometime either. I exercise, enjoy nature and interact with friends and family too. I also use the computer often. Experts shouldn't be concerned with people using computers too much.",8
509,"Dear editor of local newspaper, @CAPS1 you know that the average person spends three or more hours each day on the computer? The time taken up by staring at a blank screen can be spent helping the community, exercising, or simply having fun with others. All this valuable time is wasted because of computers, spending large sums of time on a computer lessens your time with family and friends, causes health concerns, and alternately @MONTH1 became addictive. First of all, computers @MONTH1 prevent you from spending time your family and friends. Often people come home from work or school just wanting to relax, so the seek comfort from the web. However, a more relaxing activity could be playing a game with your family or going out with your friends. After all, nobody lasts forever and your time with once everyday. This precious time is taken away by computer technology, which will last longer than any human and doesn't even provide comfort when someone is down. For example, a teenager would be on the computer who is making fun of them. This does not benefit the and the bullying could lead to depression deceded with her family or friends, they could probably share a few and make everyone feel good, @CAPS2, time spent on the computer is less spent with family and perends. Secondly, computers can bad for your health, at a the eyes, and people with trouble seeing. typing a lot way the need for spending more time on the computer gives you learn time for examples and often temple you if someone finds a website they really like, they will quite went to visit it often, perhaps even multiple times a day! Along with websites, @CAPS3 games and networks are also very popular and addictive. Computer addiction can lead to health problems (as talled about before) and withdrawal symptons when you try to stop. It's very important that people stop spending a lot of time on the computer to make sure an addiction is prevented before it can even start. In conclusion, computer technology is hurting the human race and could be preventing greater things to be happening in individual's lives. There is less time to do things with your loved ones, more negative impacts on your a rising number of computer addicts because of our modern technology. However, all there, could be prevented if people simply spent less time on the computer.",11
530,"Dear @CAPS1 @CAPS2, I have a very strong belief that children and adults are spending far away too much time the computer. Please consider the following that computers have a negative effect on people. Furthermore, @PERCENT1 of parents agree with experts that @CAPS3 spend way too much time on the computer but less time with friends. @CAPS11 I was little I rarely ever went on the computer. But now my parents have to consult me to leave the computer multiple times. Ever since teens have joined @CAPS7, myspace, and twitter, they are addicted to it and can't stop going on it to @CAPS6 what their friends are posting. Physcologist @PERSON2 states, ""@CAPS3 who are on the internet for multiple hours a day, can't concentrate in school because their minds are on what they've going to @CAPS8 on @CAPS11 they get home."" @CAPS4 up, @CAPS5, @CAPS6 @CAPS7, @CAPS8 to school, get home, @CAPS6 @CAPS7. This is the daily reutine of a teenager in the @DATE1. Secondly, going on the computer constantly can cause health problems. @NUM1 percent of teens who non-stop use the computer have to wear glasses or contacts, because of overusing the computer. @CAPS11 I use the computer without a break for multiple have I get a terrible headache because my eyes can't take any more of it. ""@CAPS11 @CAPS3 stay up laye on the computer they are, have fatigue the next morning."" @CAPS12 pediatrician @PERSON1 and middle schoolers are very much the most popular users of the interner, because they are mostly very tired and @CAPS11 at school. People who stay up very late have very black saggy lines under their eyr, so if you see a person like taht they are a overuser of the internet. Most @CAPS3 who are very pole also never get to @CAPS8 outside @CAPS11 using the internet all the time. Lastly children are missing out on the beauty of nature. @CAPS3 who don't get enough excersize, cant think clearly becasue tehre is no oxygen in their brains. Obesity is begginning to tape a toll on children who only sit inside and @CAPS5 junkfood. Children who rarely @CAPS8 outside and excersize become overweight or obese. @PERCENT2 of children instratford almost never @CAPS8 outside and excersize. As I was in elementary school, we had recess but now in middle school we never have it. The only chnace we have to @CAPS8 outside in the @DATE3 and in the @DATE2 @CAPS11 it's warm.",10
533,"@ORGANIZATION1, @CAPS1 computers are a part of our advanced technology. They have a positive effect on people because computers make almost everything easier, they can teach people things with tutorial or educational websites and @CAPS2 @CAPS3, and they keep people entertained in their spare time. Computers are becoming more and more advanced everyday and that's why I think people are so addicted to them, yet they do have positive affects. Computers make things a lot easier for a lot of people. If you really think about it, a lot of things that we use every day such as books, nice clothing, and music on the radio would not be here if it weren't for computers. We would have to hand write those books and hand sew our clothes. As for the music, we would just stomp our feet and clap our hands to make music. If ancient egyptians had computers, they would have built millions of @CAPS4. Our computers have programs like microsoft to help me do a major school assignment neatly. Computers have positive affects in this way. Everyday after I finish my homework and I go on the computer most adults think that all that us teenagers do on the computers are facebook and myspace. I do admit that I go on those websites, but if I notice that my grades are not in the best condition, I go on websites that can help me understand what I'm not getting. Ninety percent of the time that I do that my grades go up and I get a satisfying grade. I have also taught little cousins of mine how to add and subtract using the computer in pre-school. Computers are helping schools teach students. Besides education, computers can also keep us entertained with games such as virtual solitaire. When I go on the computer, I might need to research something that I have interest in. Maybe I might want to know when @LOCATION1 was invented or, if the universe ever stops. Maybe I don't want to watch @CAPS5 all day to keep me entertained. Computers will save me from bordom. When I use a computer, I am not addicted. In fact it has a very positive effect of me. Yes, I might stay up countless hours, talking to my friends on facebook, but to me that's a part of being a kid. The next day I might learn something in school that I want to search deeper into. That is what the computer is for. Without computers we would not have some of the knowledge we have @CAPS1. Their effect is the most positive effect on people, ever in my opinion.",8
579,"Dear, Newspaper I believe that the use of computer is so horrorable thing for the people of the world. I think this because they don't exercise enjoy the great outdoors and have good time with family and friends. When you are on the computer you are not exercising you body. This is a problem because @CAPS2 this ""no exercising"" thing does stop the life span could be greatly shorten. @CAPS1 @CAPS2 this doesn't stop more and more children will grow larger and not healthy. So the children care more about the internet the being healthy. @CAPS3 expert @PERSON1 said ""@PERCENT1 of children in school today are over @NUM1 pounds in grades @NUM2, when it should be only a average of @NUM3 pounds or less in grades @NUM2."" @CAPS1 @CAPS2 the computer craze does not stop kids will continue not to go out side and get to have some fun. Smart parensts are wanting their children to have fun in the back yard. @CAPS2 children are inside and not out side they with not get vitimans from the sun. The experts at @ORGANIZATION1 said ""@CAPS2 the children do not stop going on computers then they with never see the true beauty of the outdoors."" @CAPS3 you can see nature is some thing children need. Interacting with friends and family is important for everyone. Because @CAPS2 one family member is having a health problem and has to go to the hospital no one is there to be with them because they never talk to each other. One year I found out the my great grandmother died of cancer. I had no idea that she had cancer. And I wish I was at the hospital with her. But wasn't because me and her never talked. Don't let that kind of thing happen to you talk and have fun with you friends and family. So @CAPS3 you can see that the use of computers is horrorable because you life can end sooner, your children get fat, and you drift apart from you friends and family. So don't let this happen to anyone else. Tell everyone.",8
585,"Dear Newspaper, Computers! Computers! Computers! Computers seem to be the talk of the year. Many people believe that computers are needed for everyday life, but I would have to disagree. In my opinion we do not need computers. The effects computers have on kids and adults are astonishing. Humans today are not spending as much time in nature and excirsising for a healthy body and a healthy planet. Also, as us kids are growing up, we have too many advantages because of computers. Thirdly, so much money is being used towards computers and not whats truely important! As you can see these three reasons alone should persuade anyone to believe that computers are harmful to all areas of life. First off, as we continue to use computers our natural environment is going to waste. The effects on nature and people are horrible. Polution is being spread all over the planet! People are becoming addicted to computers. I know it will surprise you when I tell you that the average person spends about ten hours on a computer a day! This is about half the day! This is a terrifying effect on people, because now these computers are brain washing us! Instead of going on the computer all day, we should be going outside to enjoy fresh air and the sun. Their the more, computers have us sitting inside all day and not getting any excirsive, which is a health issue we need to learn about the little things and be thankful for what we already have! Consiquently, banning computers would have a positive effect. Today, many are loosing their ability to write card forgetting about the simple things life has to offer would writing an essay with a pencil and paper be so bad? This @MONTH1 be old fashioned, but there are an enormous amount of great effects for using pen and paper. Maybe, the @ORGANIZATION2 states would become smarter and contain more knowledge. By writing everything out is proven to help remember important facts easier and for a longer amount of time, writing on paper is like writing it in you brain. Therefore, students, children and adults would benefit by having better handwriting. Since most information is typed on the computer people are forgetting how to write neatly, clearly, and resonsibly. @PERSON1 is an english teacher that has been with the @ORGANIZATION1 school since before computers, she has seen the horrible effects taking place on her students right befor her eyes. @PERSON1 told me, ""@CAPS1, students are completely absorbed in computers and have no life, energy, or reativeness in them anymore! Kids have too many advantages with computers and not taking the time. Last, but most definetley not least is my third reason as to computers are effecting humans negetively. Humans are sending huge amounts of money on getting the latest computer technology. Most of people pay chedes are being used for their computers. These fancey computers are very expensive, but also very useless. In my opinion many people are just following a trend. Instead, the money can be spent on schools, and especially the wars! Do you hear the humming of the computer the clicking of the buttons? Realize that these sounds are not what you should be spending! To wrap it up, computers effect people. There are many reasons to support this, but here are three. One is that people are not spending any time in nature! Another is that people of all ages are becoming brainwashed by this electronic and not spending the time to learn things in quality. Thirdly, people are using all there money on those computers! I know some people think computers are very usefull,but I know now, after you have read this article, you know how unuseful computers really are.",11
587,"More and more people use computers in fact about @PERCENT1 of @CAPS1.T has computers, everyone uses them. I think they are very good to have because you can use them for emailing, jobs, and schoolwork. This is why I think having a computer is a good things what do you think? As I was say computers are good for emailing, even I.ming. lets say you play baseball and you forgot what time your game is. You can just push that power button and tree to your coach asking what time you need to be at the feild. Also theres I.Ming, its wen you can talk to your friends online its a great way to comunicate and meet new people. Emailing is great, its so hi-tect you can email one of your family members who live thousand miles away from you. I once did that my aunt's lisa was in florida and i asked her to send me pictures of the water and the beaches and she did, they were eye catching. Next reason why computers are good to have is for jobs. In todays world everything is ran by computers for example each registers. A.T.M. and car are ran off of computers. So having it for a job is great. Lets your tells you to fax over a copy can do it the computer within a minute i know my dads job requires of he keeps it all to his witch on his desktop on his laptop. This is why most jobs have computers. Do you are one? Lastly, school was computers . For example my teacher on his computer atendence, homework and . If he didn't have that, he would be lost. Its also good for the kids too. Every week in social studies we have to look up the presidents and i use my laptop for that. Did you know is a program were you can look at your grades and missing assignments? It's call power school. Computers are great for school. I think every one should have one. So what do you think about them? Are they amazing or what? I think are very helpful because you can use them for emailing, working, and school work. If it wasn't for computers we would really know as much as we do now. About @PERCENT1 of @CAPS1.T have them. Computers are gonna help you through life alot, welcome to the real world.",9
588,"Dear the newspaper, Computers are great resources and are helpful in many ways. @CAPS1 we have the technology, why not use it? Computers give us simple yet very useful programs like @ORGANIZATION1 word or photoshop, outstanding abilities to look up any information you want, and keep in touch with far away relatives useing facebook or video chats like skype. Wouldn't it @CAPS1 you were just about to finish an essay for school when you mispelled a word and had to start all over?! Well this is what happened frequently when computers weren't around and you had to use a typewritter. Unlike typewriter, computers have programs such as michrosoft word, where @CAPS1 you make a simple mistake, all you have to do is press backspace. With programs like this, essays and flyers are extremly easy to make. There are also a lot of other programs like powerpoint, photoshop, or video-editing. These are real time. You can just put your camera chip into your computer and ""walaa"" instant editting. Programs that you can download make life a whole lot simpler and saves you a lot of time. Along with the programs to write a paper, you can use the internet and google to get the information! All you have to do is type in a shourt phrase and instantly get thousands of sites, all packed with information. And instead of spending ten minutes in a dictionary. com and find it in a split second. I took a tally and @NUM1 out of every @NUM2 kids use the internet at least once a day! Lets say you had a party coming up, but had nothing creative to cook for food. Just type in creative foods for a party"" and you will easily have hundreds of newe recipies to choose from. The internet is an extraordinary invention that is very simple and helpful to use. Antoher fantastic thing to use on a computer is social connections such as myspace, facebooks, or skype. This is a great way to catch up with old friends from highschool or college, or plan a big event while being relaxed at home. @CAPS1 you had soccer practice at night so you couldn't hang out with friends, but still had time to do a quick chat, this is perfect. Skype and other video chats are amazing. They are very convienent when you need to speak with someone all the way in @LOCATION1 for busieness and don't want to travel. All you have to to is open a link a ""bamm"" they're right there! These are great for buisnesses and long distance ralationships. I have an uncle and aunt who live in and we use skype to keep in touch. It a fantastic way to communicate acros the globe. Computers @MONTH1 make as ""look""lazy, but give us a lot. Saved time from their convenence to run around and get exersize. Computers have amazing programs that help us in all ways, internet for quick information, and social connections to keep in touch with family, friends and buisnesses. Computers are one of the most convenent things we have and I strongly suggest you would agree with me.",10
596,"Dear, @CAPS1 @CAPS2 I think people need to see the realatey from computer's and the real world, they're a lot of people spending to much time on the computer and not spending enough time with there familys or doing things that are really important. While your on the computer your not getting any exsercise your not getting stronger your just sitting down. Thats one of the ways people get fat because there not moveing around just sitting down. When your on the computer all day everyday your missing out on whats happening with your family you miss out on every thing that's going on. I think people need to relax on spending time on the computer and get some exsercise or call one of your cousins brothers or even your mon and find out what really up because they are the ones that really matter! But you really can't tell people how long there allowed to spend on the computer you can only give an opinon and hope they listen.",6
605,"Dear Newspaper @CAPS1, I believe that if you allow you self to use the @CAPS5 @CAPS2 @NUM1 minutes a day at the most that will allow you plenty of time to go outside & excersize. Useing the @CAPS5 is fine in moderation, but if you are constantly on the @CAPS5 it can't be healthy @CAPS2 You (unless its your job) you should only be on the @CAPS5 @CAPS2 @NUM1 minutes to an hour a day! So me people are on the @CAPS5 so much that they re eyes get worse & worse, Not only does it affect your physical health but it take hurts your physical @CAPS3 are some stories of blood shut eye, pink eye, or even @CAPS4 this is a very serious issue the people who are like this are called @CAPS5 @CAPS6 @CAPS7 to @CAPS8 @CAPS9 @CAPS10 over @PERCENT1 of people say they know or are someone who is a @CAPS5 addict, and scientists say in the next year that number will double or even triple. I know that people need to use the @CAPS5 @CAPS2 things such as email, projects, Ideas, or even models but really does anybody read a book anymore! ",6
613,"Dear @CAPS1, @CAPS2 people are using technology. A lot of them feel that it is helping and improving their learning ability, others disagree. I personally feel that computers are an advantage but also disadvantage. I say it can be an advantage because it is giving people a chance to experience above and beyond what they are learning. I say it is a disadvantage because a lot of people are on the computer and they don't get a lot of exercise. There are pros and cons to computers but manly cons. How long do you stay on the computer? @CAPS2 people find computers more entertaing than going outside and getting some exercise. Since technology is advancing, more and more people are going out to buy computers. A lot of teenagers are spending more and more time on the computer, playing games and going on their favorite websites. That is one reason why children from the ages @NUM1 and up are obese. They don't get enough exercise. That also leads into people spending time with your friends and family. I know alot of people like to spend time with their friends and family. But what if you were always on the computer and never made time to hang out with your friends or family. Your friends might ask you to go to the park with them, and you say no. Your friends are going to start pulling away from you. You might end up being lonely. Being on the computer constantly can ruins your life. If you are choosing the computer over other important thing, then I think we have a problem. Going on the computer all the time can became an addiction. I don't think people realize it, but it can. I can take over your life. I say this because when you have an addiction to anything, it is hard to stop. It is possible to stop all by yourself but thats rare. Majority of the times it is best to seek help, I personally think you should take all of these reasonings into consideration.",8
634,Hi do you think that if you use the computers too much then you will not exercis and you will not enjoy the outside nature with talking and playing with your friends and family will do not because computers are need for over needs and one click can help lot of people and can save live and the more advances over technology become. We will all so advances like or help a person look for a need jod and you can still talk or chat with best friends or just your grand mom. The computer can help with your home work or someone to lern to talk in english and to jump start than new jod or store and so they can but that ther her will like and buy so if they like it they will come back for more to higher more people and to make it into lot of store and all so and good reson the computer is good to cook food and to make new resifes all in one clik of the mose.,5
683,"Do you ever have time to read? Do you ever spend time with your family? Or do you ever have time to go outside? Well, if you don't, it's because you spend to much time on the computer. Computers are bad for society. And I will show you why. There are many great activities you can do such as reading a book. Instead of reading on the computer, read a novel, you can ask your parents to drive you to the library. I understant that if you need to do research you can do it on the computer but in the library there are all sorts of books such as fiction, nonfiction, science books and many more. Every intelligent citizen would @CAPS1 that computer @MONTH1 have wrong information. I remember when I was doing a project on @ORGANIZATION1, @CAPS2 of @CAPS3 music. I used the computer to research who killed her and it said that a man killed her. I went to the library and checked out a book on her and it said that a woman killed her actually. In addition books help you get more accurate facts. Every caring, loving human cares about spending time with their family. How can you spend more time with your family? Well, you can visit some cousins on the weekends. Your family can make parties. I recall having a party for my baby brother's baptism, everyone came. I got to see my aunts, and cousins that I didn't see in years. I understand that if you have a far away relative you would use the computer to chat with them or see them on webcam, but why not take a vacation were they live and go by car, that would bring the family even closer. I @CAPS1 what that is like. My family lives in @LOCATION2 and I visit them every year. We have family reunions, maybe your family can do that too. As a result, family is important, so don't let the computer ruin yours. Do you ever go outside anymore? Is the computer getting in your way? You have to check your e-mail, reply, go on your @CAPS4, its hungry, you have to do your daily activities. What about your health? Getting fresh air can be good. These are many great things you can do outside. For example, you can jump rope, go to the park, go swimming, play in the snow and many more. I remember the time my cousin came over and we went to the park. We stayed these until the park closed. It was very entertaining. Every citizen in @LOCATION1 wants to be healthy. Going outside can help you, run through the woods, or even jump roping is outside and excersizing. In addition just going outside can do more. Now is the time. Why wait another minute? You can either be all alone on the computer or be outside, or be with your family, even the library isn't lonely. Computers are a bad habit, even though we might need them, its better safe, then sorry to do it the old fashion way.",10
696,"Dear editor of The @CAPS1, I believe that computers are good ideas for our community. If the library's closed and a students needs information, you can look it upon the internet. Also, you can talk with your friends if your phones not working. Computers can help people learn about the latest news if the television is getting pixecl. First of all, computers can help with research alot. Let's say it's ranning healthy, your car? out of gas and you need to go to the library before it closes. Just be easier to go on the computer and find a research site about your topic; no gas wasted, no sopping wet doing just you in a robe sipping hot choclate on the computer. Next, you can talk to friends all the way in another country without having to pay extra for a long distance call. And if yo udon't have unlimited minutes and you went to talk with someone for a long time, you'd be wasting valuable minutes and money! This is where computers come in. You can just open a chat window and talk away, just like that. Finally, you can look up the latest news and information on a search program, like @ORGANIZATION1. If your television broke and it'd take a week to fix, what if something happened that you needed to know about you could just go on the internet and look it up. Thank you for reading my ideas, editor. I hope you'll choose my article to post in your newspaper when the time comes.",8
708,"Dear @CAPS1, Computers are an amazing advantage to use in this modern day and age. They are easy to learn how to use, you can connect with old friends, and even learn by going to an online school or college they offer. Computers are amazing advancement and this is why you should use one. Who doesn't like computers? They are easy to learn how to use and are in a variety of forms. Almost every college student has a computer or laptop. They could have never used one before, but then they learned how easy it was. Most computers come already installed with the necessary programs including: @ORGANIZATION1, @CAPS2 @CAPS3, or some form of @CAPS2, a virus protection software, and other simple software. Moving is very hard, you leave a place where you have so many friends to a place that is so new to you. Computers make this so much easier by letting you connect with them without having to wait for the mail by writing letters. There is email, facebook, and myspace that let you chat with old friends, new friends, or even parents. Some people say that these things are dangerous, that is only if you start talking to people you don't know. People keep coming up with even more ways to stay connected so don't miss out on the opportunity. These people are so smart, they figured out a way to have school online. This is very helpful to somebody who is injured or is trying to get another degree to get a better job. People get assignments to do and each class only takes about one or two months. People get to do their job or enjoy nature still because their day is open and not busy. Sure people don't get to enjoy the campus, but with the price of gasoline these days, it's worth it. So don't be the person sitting around doing nothing, buy a computer and stay in touch with technology. Remember computers are easy to use, you can stay connected to friends and you can go to school on them. This technology can help you more than it can hurt you.",9
736,"Dear @CAPS1, @CAPS2 I understand your one trying to decide whether or not computers are bad for people. I for one thing that computers are turning our society anti-social, we are becoming obese, and there is alot of cyber bullying that happens via computers. You can learn about all this and more if read on. @CAPS2 a stated earlier computers many problems in @LOCATION1's social lives. You see @CAPS2 much @CAPS2 @PERCENT1 of our population spends at least @NUM1 hours a ween on the computer. When doing this they are typically . watching videos or tweeting a friends. This @MONTH1 all swim like a activity but it is really pulling us away from our social lives. There are many sites that allow you to chat with your friends and leave messages on their ""wall"" but is that really communicating? In a way it is but it is taking away social skills that we will need later on. You can't get a job by instant messaging a person, you have to talk face to face. But how will we be able to do that if we only email and @CAPS3? Plus while so much you will be prone to using in , thus you with, nothing but a bad grade. Now we to problem that we see occuring all over . You the work on the computer. This activity what , they monitor, lets you at , everyday, since he comes home and plays on the computer and more time exercising. Finally we come to my last issue, cyber bullying. Over @PERCENT2 of @CAPS4 teens will be faced with some sort of cyber bullying in their life. When teens sion up for facebook and twitter they are signing up for depression. When a teen starts to get bullied they usually become sad which then leads them grades to go lower due to lack of concentration and that leads them to be more depressed and that could make them either commit suicide or join gangs and/or start making bad . But we can prevent this if we the of time people out @NUM2 spend on computers. And I think benifit that. In conclusion I believe that is we are bad for society. I think them is we the amount of time could be lives. I think that if you look deep down into what it to say how you will understand why we need to do healthier @LOCATION1? ",10
739,"Dear @CAPS1, I'm writing to you today about computers I believe that computers can teach you things such as, hand-eye coordination and how that, can open job doors for you. Also you can socialize as well as study with this device. My first reason being socialization. i think that this is a good way to socialize due to the many options. one example would be facebook. This is a social website that is used to connect or reconnect with friends. in a recent poll @NUM1 out of @NUM2 people say that computers had made them more social. Lastly, computers are a good way to socialize because of the range it can travel. You can talk to people without the long distance fees of . This can range from the @CAPS2.S to hungary in seconds. My second reason would be that computers are useful in studies. I would say this because even though books are good they use hard to find. With the computer you can access multiple sites. This being you can from wikipedia all the way to the infamous google in just . Another reason I believe computers are good for studies in that you have endless. you will get a the . The lost . My third and final reason is computer give you exceptional hand-eye coordination can because I know accountant. i asked him, ""@CAPS3 did you take that accounting job?"", and he answered, ""They only took me because I have good hand-eye coordination."" @CAPS4 thats one job exemple, another would be real state. Due to computers multiple options you can look up because in the your client. With good hand-eye, however, you can be more efficiecnt with your work. This could help you lead competition, thus, making you more money. This then ends my essay. Stating with socialization, skipping down to studies and ending right on jobs and and bye's front steps. These are only @NUM3 of the many bountiful things that a computer can do. @CAPS1 I hope you read this with my regards.",9
744,"Dear @LOCATION1, I @CAPS1 believe that using computers has a benefit to the community. I believe this because using computers helps with research, jobs, and staying in town with people. First and foremost, the use of computers will tribute to better research. Most @CAPS2 dont have textbooks about @CAPS3 or @CAPS4 at home with them so they rely on the internet. When @PERSON2 gave the class a parket, I didn't know what some of the words meant. So i logged into my laptop and went on google, within seconds the definitions wore popping onto my screen like pop rocks. After I found out what the words meant, I finished my homework in about five minutes. Without the internet I don't know how long it would have taken. Equally important, using computers will allow a wider selection of jobs. @PERCENT1 of today's jobs in @LOCATION1 require some kind of computer work. some jobs require quick typers. some people type as fast as cheetah runs. Some jobs require people using @CAPS5 or @CAPS6 - Computers are a necessity to get a well - paying job. Lastly, using computers will open a gateway communication @CAPS7, @CAPS8, @CAPS9, etc are a few of the many ways to communicate online. if one of my friends doesn't have a phone, they most likely have a @CAPS7. @CAPS7 gives me a way to talk to, @CAPS11 photos with and leave videos for my friends. One @CAPS12 @PERSON3, @PERSON4, and I were all going to work on our @PERSON1 project. @PERSON3's phone was taken away so the only way I could talk to her was on @CAPS7. Did you know that @PERCENT2 of @LOCATION1 has a @CAPS7, @CAPS8, of @CAPS9? To @CAPS17, I hope you enjoyed reading about how using computers helps with research, applying for a job, and communicating with family and friends please @LOCATION1, @CAPS18 this in the Newspaper so all residents of @LOCATION1 will agree with me.",9
759,"Dear @CAPS1 @CAPS2, I have heard the concern of many scientists about computers. Computers have brought us into the @DATE1 and have improved our society but they are harming our childrens health and education. Because of computers, children and adults around the world are spending less time with family and friends, they are not enjoying athletic activities and they are having health problems. Because of an increase in technology, children and adults are not spending time with their families. The computers are ruining family connections. For example, a study at @ORGANIZATION1 showed that families with more computers in their houses communicated less. The children are talking to their friends online or are going on social networking sites instead of talking in person to their family members. Also, computers are making it very hard for families to have meals together. When the children are on the computer, they do not want to leave. This obsetion with the technology is making it harder for families to grow moved and of were more succesful in school. The computers are children from a better education. Athletic activities are also suffering been so of @PERSON1, fresh air more children They will be on websites all day insted of being on a. Sports teams because of computers. The electricity that runs computers of this radiation. Being exposed to this could lead to brain damage or possible death. When my aunt bought a computer for the first time, she complained about massive headaches that kept returning. This was caused by the radiation emitted from the computer. Another health risk is obesity. When children sit in front of a computer for many hours, they have an increase in apetite. These children eat because they have nothing better to do. While on the computer, the users eat and will gain weight because of the loss of exercise. They could become obese and possibly get diabetes. Therefore, there is less communication in families, a loss of excersise, and health concerns caused by the computers. The consequences of misusing this technology are devastating and could be life thretening. Thus, I urge you to do whatever is possible to use the computer less or face the consequences that come with it.",10
760,"Computers are great, they can help you with anything you need. You can shop on then, pay bills, even book a flight to go on vacation, but people are spending too much time on them. They should only spend a certain amount of time on them and not all day. Many people are spending more than enough time on the computer People ran often stay on the computer for hours and not even relize it, they stay up all @TIME1 doing work, or playing games. @TIME1 a while it will eventually take a toll on the body. Because @CAPS2 you are on the machine all day then you are using little to no energy at all. So then you spend @CAPS1 nights in bed tossing and turning. Then that leeds to feelings horrible in the @TIME2, @CAPS2 you do it @TIME1 it is going to have a bad effect on your body. I believe that people who spend all their time on the computer will eventually get overweight. @CAPS2 you are sitting in a chair all day then you get no exercise what so ever. Then when you eat you don't burn off the calories so that leeds to people gaining wait and becoming over wait from that your body becomes very unhealthy and will most likely leed to health issues. When people are on the computer they end up ignoring nature. They miss out on being in the wonderful warmth of the @CAPS3 @CAPS4, or going out and playing in the snow and making @CAPS5, forts, or having a @CAPS6 fight. They even miss out on just going outside and talking a walk the reason is because they are @CAPS7 @CAPS8 inside their house with their fare glued to the computer. Being on the computer takes a lot out on the body. It can cause health problems and even problems in general. So people should just spend a part of their day on the computer. The other part of the day they should be outside, walking around, maybe playing with pets, children or friends. As long as they're out of there chair and not on the computer and getting some exercise.",9
